(140, 'GLO 3013', 'GLO-3002'),
(141, 'GLO 3101', 'GLO-3002'),
(142, 'GLO 4000', 'GLO-3002'),
(143, 'GLO 4002', 'GLO-3002'),
(144, 'MAT 1110', 'MAT-2910'),
(145, 'MAT 1900', 'MAT-2910'),
(146, 'PHY 1002', 'MAT-2910'),
(147, 'IFT 1903', 'MAT-2910'),
(148, 'GLO 1901', 'MAT-2910'),
(149, 'IFT 1004', 'MAT-2910'),
(150, 'IFT 1901', 'MAT-2910'),
(151, 'IFT 2008', 'GLO-3100'),
(152, 'GLO 2100', 'GLO-3100'),
(153, 'GLO 3102', 'GLO-3202'),
(154, 'ANL 2010', 'ANL-2020'),
(155, 'MAT 1900', 'GEL-1000'),
(156, 'PHY 1002', 'GEL-1000'),
(157, 'GLO 2001', 'GIF-3000'),
(158, 'GLO 2001', 'GIF-3004'),
(159, 'GIF 1003', 'GIF-3101'),
(160, 'MAT 1200', 'GIF-4100'),
(161, 'MAT 2930', 'GIF-4100'),
(162, 'STT 1000', 'GIF-4101'),
(163, 'STT 1900', 'GIF-4101'),
(164, 'STT 2920', 'GIF-4101'),
(165, 'MAT 1200', 'GIF-4101'),
(166, 'MAT 1910', 'GIF-4101'),
(167, 'MAT 2930', 'GIF-4101'),
(168, 'PHY 1001', 'GIF-4101'),
(169, 'GLO 2100', 'GIF-4104'),
(170, 'IFT 2008', 'GIF-4104'),
(171, 'GLO 1901', 'GIF-4105'),
(172, 'IFT 1004', 'GIF-4105'),
(173, 'MAT 1200', 'GIF-4105'),
(174, 'MAT 2930', 'GIF-4105'),
(175, 'null', 'GIN-2010'),
(176, 'GIN 1500', 'GIN-2010'),
(177, 'null', 'GIN-2010'),
(178, 'STT 1900', 'GIN-2010'),
(179, 'null', 'GIN-2010'),
(180, 'GIN 1500', 'GIN-2010'),
(181, 'null', 'GIN-2010'),
(182, 'STT 1000', 'GIN-2010'),
(183, 'null', 'GIN-2010'),
(184, 'GMC 3009', 'GIN-2010'),
(185, 'null', 'GIN-2010'),
(186, 'STT 1900', 'GIN-2010'),
(187, 'null', 'GIN-2010'),
(188, 'GMC 3009', 'GIN-2010'),
(189, 'null', 'GIN-2010'),
(190, 'STT 1000', 'GIN-2010'),
(191, 'GLO 3102', 'GLO-3112'),
(192, 'IFT 2004', 'GLO-3112'),
(193, 'GLO 2005', 'GLO-3112'),
(194, 'IFT 1004', 'GLO-4001'),
(195, 'GLO 1901', 'GLO-4001'),
(196, 'STT 1000', 'GLO-4001'),
(197, 'STT 1900', 'GLO-4001'),
(198, 'STT 2920', 'GLO-4001'),
(199, 'GLO 4001', 'GLO-4007'),
(200, 'MAT 1200', 'GLO-4007'),
(201, 'MAT 2930', 'GLO-4007'),
(202, 'IFT 2004', 'GLO-4027'),
(203, 'GLO 2005', 'GLO-4027'),
(204, 'IFT 2008', 'GLO-4027'),
(205, 'GLO 2100', 'GLO-4027'),
(206, 'MAT 1200', 'GLO-4030'),
(207, 'IFT 3001', 'GLO-4030'),
(208, 'IFT 4102', 'GLO-4030'),
(209, 'GIF 4101', 'GLO-4030'),
(210, 'IFT 2004', 'GLO-4035'),
(211, 'GLO 2005', 'GLO-4035'),
(212, 'IFT 1003', 'IFT-2102'),
(213, 'SIO 2103', 'IFT-2102'),
(214, 'GLO 2003', 'IFT-2102'),
(215, 'GIF 1003', 'IFT-2103'),
(216, 'IFT 3100', 'IFT-2103'),
(217, 'GIF 1003', 'IFT-3000'),
(218, 'GIF 1001', 'IFT-3002'),
(219, 'GIF 1003', 'IFT-3100'),
(220, 'IFT 2002', 'IFT-3101'),
(221, 'IFT 2103', 'IFT-3113'),
(222, 'ANI 1018', 'IFT-3113'),
(223, 'MUS 2012', 'IFT-3113'),
(224, 'IFT 2006', 'IFT-3201'),
(225, 'GIF 3001', 'IFT-3201'),
(226, 'GLO 2000', 'IFT-3201'),
(227, 'IFT 3001', 'IFT-4001'),
(228, 'IFT 3001', 'IFT-4003'),
(229, 'IFT 2002', 'IFT-4022'),
(230, 'GLO 2100', 'IFT-4022'),
(231, 'IFT 2008', 'IFT-4022'),
(232, 'STT 1000', 'IFT-4022'),
(233, 'STT 2920', 'IFT-4022'),
(234, 'STT 1900', 'IFT-4022'),
(235, 'MQT 1102', 'IFT-4022'),
(236, 'GLO 2100', 'IFT-4102'),
(237, 'IFT 2008', 'IFT-4102'),
(238, 'STT 1000', 'IFT-4102'),
(239, 'STT 2920', 'IFT-4102'),
(240, 'STT 1900', 'IFT-4102'),
(241, 'MQT 1102', 'IFT-4102'),
(242, 'MAT 1200', 'MAT-2200'),
(243, 'STT 1000', 'STT-2200'),
(244, 'ACT 2000', 'STT-2200'),
(245, 'STT 2920', 'STT-2200'),
(246, 'MAT 1200', 'STT-2200'),
(247, 'null', 'STT-2200'),
(248, 'ACT 2002', 'STT-2200'),
(249, 'STT 1100', 'STT-2200'),
(250, 'null', 'STT-2200'),
(251, 'ACT 2002', 'STT-2200'),
(252, 'ECN 2090', 'STT-2200'),
(253, 'GLO 1901', 'STT-2200'),
(254, 'IFT 1004', 'STT-2200'),
(255, 'ANL 3020', 'ANL-3905'),
(256, 'MQT 1102', 'GSO-1000'),
(257, 'MQT 1100', 'GSO-1000'),
(258, 'STT 2920', 'GSO-1000'),
(259, 'MAT 1915', 'GSO-1000'),
(260, 'STT 1900', 'GSO-1000'),
(261, 'STT 1000', 'GSO-1000'),
(262, 'BCM 1001', 'BCM-1003'),
(263, 'CHM 1003', 'BCM-1003'),
(264, 'BCM 1001', 'BIO-2003'),
(265, 'BCM 1903', 'BIO-2003'),
(266, 'MAT 1910', 'GMC-1003'),
(267, 'PHY 1001', 'GMC-1003'),
